"ITTER107_A","Territorio di origine","TIPO_DATO15","Tipo di indicatore demografico","PROV_DEST_Z","Tipo di trasferimento","ISO","Paese di cittadinanza","SEXISTAT1","Sesso","ETA1","Età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2007","2007",9188,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2008","2008",13410,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2009","2009",11918,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2010","2010",10043,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2011","2011",10057,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2012","2012",9899,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2013","2013",12426,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2014","2014",10888,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2015","2015",10745,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2016","2016",12078,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2017","2017",13279,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2018","2018",13913,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2019","2019",17674,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","TOTAL","Totale","9","totale","Y_GE65","65 anni e più","2020","2020",11419,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2002","2002",88700,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2003","2003",203069,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2004","2004",183054,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2005","2005",142970,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2006","2006",133667,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2007","2007",267120,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2008","2008",250047,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2009","2009",216146,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2010","2010",232468,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2011","2011",185601,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2012","2012",165784,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2013","2013",146620,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2014","2014",125473,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2015","2015",116110,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","TOTAL","totale","2016","2016",115581,,
